index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
97,Bamba Dieng,Senegal,1,74,80,21,ST,0,0
98,Youssouf Sabaly,Senegal,1,76,76,29,RB,0,0
99,Abdou Diallo,Senegal,1,77,79,26,CB,0,0
100,Alfred Gomis,Senegal,1,77,79,28,GK,1,180
101,Moustapha Name,Senegal,0,0,0,0,0,0,0
102,Mamadou Loum,Senegal,1,73,78,25,CB,1,0
103,Pape Gueye,Senegal,1,76,82,23,CDM,0,0
104,Jordan Pickford,England,1,82,84,28,GK,1,360
105,Kyle Walker,England,1,85,85,32,RB,1,540
106,Luke Shaw,England,1,80,81,26,LB,1,360
107,Declan Rice,England,1,84,87,23,CDM,0,0
108,John Stones,England,1,83,84,28,CB,1,663
109,Harry Maguire,England,1,81,82,29,CB,1,496
110,Jack Grealish,England,1,84,84,26,LW,1,312
111,Jordan Henderson,England,1,83,83,32,CM,1,196
112,Harry Kane,England,1,89,89,28,ST,1,588
113,Raheem Sterling,England,1,86,86,27,LW,1,559
114,Marcus Rashford,England,1,81,85,24,ST,0,0
115,Kieran Trippier,England,1,84,84,31,RB,1,224
116,Nick Pope,England,1,81,81,30,GK,1,270
117,Kalvin Phillips,England,1,81,85,26,CDM,1,540
118,Eric Dier,England,1,80,81,28,CB,1,0
119,Conor Coady,England,1,79,79,29,CB,1,360
120,Bukayo Saka,England,1,82,89,20,LM,0,0
121,Trent Alexander-Arnold,England,1,87,90,23,CM,1,193
122,Mason Mount,England,1,84,87,23,CAM,1,535
123,Phil Foden,England,1,85,92,22,CAM,1,500
124,Ben White,England,1,71,74,26,CM,1,136
125,Jude Bellingham,England,1,84,91,19,CM,1,223
126,Aaron Ramsdale,England,1,82,86,24,GK,1,90
127,Callum Wilson,England,1,79,79,30,ST,0,0
128,James Maddison,England,1,82,84,25,CAM,0,0
129,Conor Gallagher,England,1,79,86,22,CM,1,44
130,Alireza Beiranvand,Iran,0,0,0,0,0,0,0
131,Sadegh Moharrami,Iran,1,72,74,26,RB,1,1217
132,Ehsan Hajsafi,Iran,1,70,70,32,LB,1,752
133,Shojae Khalilzadeh,Iran,0,0,0,0,0,0,0
134,Milad Mohammadi,Iran,1,72,72,28,LB,1,752
135,Saeid Ezatolahi,Iran,0,0,0,0,0,0,0
136,Alireza Jahanbakhsh,Iran,1,72,72,28,CF,1,1115
137,Morteza Pouraliganji,Iran,0,0,0,0,0,0,0
138,Mehdi Taremi,Iran,1,81,81,29,ST,1,88
139,Karim Ansarifard,Iran,0,0,0,0,0,0,0
140,Vahid Amiri,Iran,0,0,0,0,0,0,0
141,Payam Niazmand,Iran,0,0,0,0,0,0,0
142,Hossein Kanaanizadegan,Iran,0,0,0,0,0,0,0
143,Saman Ghoddos,Iran,1,68,68,28,CAM,0,0
144,Rouzbeh Cheshmi,Iran,0,0,0,0,0,0,0
145,Mehdi Torabi,Iran,0,0,0,0,0,0,0
146,Ali Gholizadeh,Iran,1,73,74,26,RM,1,0
147,Ali Karimi,Iran,1,65,65,28,CDM,1,20
148,Majid Hosseini,Iran,1,68,72,26,CB,1,494
149,Sardar Azmoun,Iran,1,80,81,27,ST,1,1296
150,Ahmad Nourollahi,Iran,0,0,0,0,0,0,0
151,Amir Abedzadeh,Iran,1,72,73,29,GK,1,450
152,Ramin Rezaeian,Iran,0,0,0,0,0,0,0
153,Hossein Hosseini,Iran,0,0,0,0,0,0,0
154,Abolfazl Jalali,Iran,0,0,0,0,0,0,0
155,Matt Turner,USA,1,77,80,28,GK,1,720
156,Sergiño Dest,USA,1,77,85,21,RM,0,0
157,Walker Zimmerman,USA,1,76,77,29,CB,1,812
